지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
108,서울,2023-06-01,22.8,19.7,528,26.3,1707,,,,,,,14.6,2.2,1100,2.32,15.18,24.3,17.1,23.5,23.1,22.4,22,21.9,19.1,18,13.8,13.8,3,4.3,,,
108,서울,2023-06-02,20.4,17.9,601,25,1648,.17,0,,0,,0,14.6,5.2,1400,2.85,14.24,23.3,13.9,22.6,22.3,21.7,21.7,21.8,19.2,18.1,13.9,13.8,3,4.3,0,{박무}0655-0735. {이슬비}1310-1320.,
108,서울,2023-06-03,22,16.6,607,27.8,1423,,,,,,,14.6,13.3,1200,3.7,31.19,28.3,10.9,23.1,22.6,21.8,21.5,21.5,19.3,18.2,14,13.8,6.8,9.7,,,
108,서울,2023-06-04,22.1,16.9,537,28,1627,,,,,,,14.6,11.1,1200,3.46,28.74,29.1,11.5,23.6,23.2,22.3,22,21.8,19.4,18.3,14.1,13.9,6.1,8.7,,{박무}0335-{박무}{강도0}0600-0610.,
108,서울,2023-06-05,21.5,17.6,532,26.3,1532,,,,,,,14.6,10.9,1200,3.2,26.6,29.1,11.8,23.9,23.5,22.6,22.3,22.1,19.5,18.4,14.1,13.9,4.9,7.1,,,
108,서울,2023-06-06,20.3,17.3,537,25.2,1335,.92,0,,0,,0,14.7,7.9,1300,3.12,21.98,24.5,12.9,23.7,23.3,22.5,22.3,22.3,19.6,18.5,14.2,13.9,3.8,5.5,0,{소나기}1430-{소나기}{강도0}1500-1525.,
108,서울,2023-06-07,21.4,18.9,332,25.7,1723,1.17,0,,0,,0,14.7,1,1400,1.82,10.07,24.1,16.8,23.2,22.8,22.2,22.1,22.3,19.8,18.6,14.3,13.9,2.2,3.1,0,{이슬비}0930-1040. {연무}1450-{연무}{강도0}1500-1510.,
108,서울,2023-06-08,20.4,18.3,2339,23.9,1613,5.33,.7,2300,1.5,2251,1.9,14.7,.9,1500,1.47,10.19,23.5,14.4,22.5,22.3,21.8,21.8,22.1,19.9,18.7,14.3,13.9,2.2,3.2,3.1,{박무}0320-0415. {비}1155-{비}{강도0}1200-1215. {비}1330-1450. {비}2020-{비}{강도0}2100-{비}{강도0}2400- {박무}2335-{박무}{강도0}2400-,
108,서울,2023-06-09,23.3,18.3,524,28.4,1646,3.42,.5,20,.6,113,1.2,14.7,11.8,1100,3.54,28.15,30.3,15.2,23.9,23.4,22.2,21.8,21.9,19.9,18.8,14.4,13.9,5.3,7.6,,-{비}-{비}{강도0}0300-0325. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0610.,
108,서울,2023-06-10,23.2,19.6,2332,28.5,1248,1.83,.6,2258,1.7,2331,.8,14.7,5.6,1100,2.89,18.18,26.6,14.8,24.3,23.9,23,22.6,22.4,19.9,18.9,14.5,14,3.5,5.1,33,[{우박}](d 1.0)(NW 4)/서대문구/조선일보1430-1450. {비}1550-1620. {비}2240-{비}{강도0}2400-,
108,서울,2023-06-11,22.1,17.9,422,27.3,1710,5.42,9.5,355,16.1,312,32.2,14.7,6.4,1100,2.99,21.1,23.6,16,23.5,23.2,22.4,22.3,22.5,20.1,19,14.5,14,3.9,5.6,0,{박무}0005-0130. {박무}0225- -{비}-{비}{강도1}0300-{시정(미만)}{1km}{비}0357-{시정(이상)}{1km}{비}0409-0440. {박무}{강도2}0300-0450. {비}0625-0645. {소나기}1240-1305.,
108,서울,2023-06-12,22.2,18.4,610,27.5,1353,1.92,0,,0,,0,14.7,6.7,1300,2.86,19.9,24.3,14.1,23.8,23.5,22.6,22.4,22.6,20.2,19,14.6,14,3.9,5.5,0,{박무}0430-{박무}{강도0}0600-0705. {비}1630-1650. {비}1715-{비}{강도0}1800-1850.,
108,서울,2023-06-13,22,19.2,556,26,1313,.5,0,,0,,0,14.7,9.9,1300,3.25,25.43,28.2,14.1,24.3,23.9,22.9,22.6,22.6,20.3,19.1,14.7,14,4.4,6.3,,{비}0135-0155. {비}0305-0315. {박무}0550-{박무}{강도0}0600-0620.,
108,서울,2023-06-14,20.6,17.5,508,25,1258,2.25,12.7,1412,30.6,1355,30.6,14.8,4.2,900,1.89,13.12,20.3,13.6,22.6,22.6,22.4,22.5,22.8,20.4,19.2,14.7,14,2.5,3.5,30.6,{박무}0410-0550. {소나기}1335-{소나기}{강도2}1500-1550.,
108,서울,2023-06-15,22.7,17.7,545,28.3,1516,,,,,,,14.8,8.8,1100,3.43,25.05,26.5,14.4,23.4,23.1,22.1,22,22.3,20.6,19.3,14.8,14.1,4.7,6.8,,,
108,서울,2023-06-16,23.7,19.1,501,28.9,1535,,,,,,,14.8,12.5,1200,3.59,29.89,27.8,15.1,24.8,24.4,23.2,22.7,22.7,20.6,19.6,14.9,14.1,6.2,8.8,,{박무}0155-{박무}{강도0}0300-{박무}{강도0}0600-0755.,
108,서울,2023-06-17,24.2,18.9,540,30.2,1515,,,,,,,14.8,10.8,1100,3.39,27.4,28.7,13.3,25.1,24.8,23.8,23.4,23.2,20.7,19.7,15,14.1,5.6,8,,,
108,서울,2023-06-18,25.9,20.8,518,32.6,1636,,,,,,,14.8,12.3,1200,3.48,28.79,31.6,17.6,26.2,25.8,24.5,23.8,23.6,20.8,19.7,15.1,14.1,6.4,9.1,,,
108,서울,2023-06-19,28.5,23.3,353,34,1455,,,,,,,14.8,11,1200,3.23,25.29,32.8,18.6,27.2,26.8,25.4,24.6,24.1,21,19.8,15.2,14.2,5.3,7.6,,,
