지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
400,강남,2023-06-01,23.4,20.2,614,27.1,1537,0,4.8,1454,1,154.7
400,강남,2023-06-02,21.2,18.9,457,26.1,1612,0,5.4,1640,1.5,267.2
400,강남,2023-06-03,22.8,16.4,525,28.8,1354,0,8.5,1304,1.6,300.9
400,강남,2023-06-04,22.4,16,453,28.7,1609,0,6.6,1310,1.5,281.3
400,강남,2023-06-05,21.8,16.7,521,26.7,1502,0,8.7,1559,1.7,253.1
400,강남,2023-06-06,21,17,529,26.5,1426,0,7,1503,1.5,323.4
400,강남,2023-06-07,21.8,19.1,715,25.8,1654,0,4.4,1405,1.2,213.8
400,강남,2023-06-08,21.2,19,2223,25.2,1754,1,6,1122,1.4,267.2
400,강남,2023-06-09,23.5,17.8,436,29.8,1601,2,4.9,214,1.1,267.2
400,강남,2023-06-10,24.1,19.8,2312,29.6,1232,.5,9.7,1630,1.4,337.5
400,강남,2023-06-11,22.7,17.9,218,29.1,1453,15,4.3,1646,1,208.1
400,강남,2023-06-12,23.1,18.2,512,27.9,1234,0,4.9,1518,.9,348.8
400,강남,2023-06-13,23.4,20,532,28.4,1445,0,6.7,1615,1.4,275.6
400,강남,2023-06-14,22.6,18.2,430,27.8,1436,0,5,1442,1,326.3
400,강남,2023-06-15,23.2,18.5,404,28.4,1510,0,4.9,1907,1.1,281.3
400,강남,2023-06-16,24.6,18.5,458,30.9,1510,0,6.3,1623,1.2,334.7
400,강남,2023-06-17,25.3,18.3,452,32.1,1518,0,5.3,1636,1.2,267.2
400,강남,2023-06-18,27.1,20.7,539,34.3,1558,0,5.9,1729,1.1,275.6
400,강남,2023-06-19,28.7,22.1,518,34.9,1354,0,5.8,1832,1.1,244.7
400,강남,2023-06-20,24.8,19.7,2355,26.9,827,9.5,5.7,1508,1,149.1
400,강남,2023-06-21,20.6,18.6,340,22.5,1509,42,2.9,400,.7,109.7
400,강남,2023-06-22,22.8,19.2,502,27.8,1338,1.5,6.3,1345,1.2,233.4
400,강남,2023-06-23,24.7,19.8,207,31.3,1630,0,3.5,1409,.7,87.2
400,강남,2023-06-24,27.2,21.6,355,32.8,1511,0,5.4,1825,1,317.8
400,강남,2023-06-25,28.6,23,521,33.9,1524,0,5.1,2050,1.1,188.4
400,강남,2023-06-26,24.4,21.4,539,27.7,6,41,7.8,2250,1.5,258.8
400,강남,2023-06-27,26,21.7,306,30.7,1410,3,6.9,103,1.6,233.4
400,강남,2023-06-28,26.9,24.3,351,31.1,1550,0,5.8,1358,1.4,320.6
400,강남,2023-06-29,24.4,22.8,1545,26.1,1,56,7.9,1350,1.3,180
400,강남,2023-06-30,26.2,23.7,14,30.6,1632,0,4.1,29,.9,250.3
400,강남,2023-07-01,28.5,23.6,459,34.1,1442,0,6.1,1741,1,289.7
400,강남,2023-07-02,27.5,23.5,451,31.8,1553,0,4.1,1221,1,326.3
400,강남,2023-07-03,29.4,24.2,439,35.6,1546,0,4.6,1557,1,174.4
400,강남,2023-07-04,26.2,24.1,2022,30.4,1218,55,9.1,2359,1.7,199.7
400,강남,2023-07-05,24.9,22.6,605,28.3,1233,18,8.9,29,2.3,163.1
400,강남,2023-07-06,27.9,22.8,58,33,1346,0,7.4,1332,1.7,171.6
400,강남,2023-07-07,26.9,23.2,2355,32.2,1221,0,8.2,1709,1.4,177.2
400,강남,2023-07-08,25.9,22.5,519,30.8,1517,0,5.6,1545,.7,163.1
400,강남,2023-07-09,25.2,21.2,1241,29.1,1019,17,8.7,1037,1,5.6
400,강남,2023-07-10,27.1,23.2,645,32.2,1324,2,5.4,133,1.3,160.3
400,강남,2023-07-11,23.3,20.9,1747,26.4,50,106.5,6.4,855,.9,180
400,강남,2023-07-12,26.6,22,1,30.8,1542,0,4.3,1545,.7,2.8
400,강남,2023-07-13,25.2,24.3,1517,27.1,955,81,5.1,2223,.8,188.4
400,강남,2023-07-14,25.1,24,106,25.9,919,79.5,6.6,810,1.5,216.6
400,강남,2023-07-15,25.1,24.3,2108,26.8,1616,1.5,7.9,1748,1.4,
400,강남,2023-07-16,24.9,23.4,556,26.5,1537,7.5,5.8,1243,.8,253.1
400,강남,2023-07-17,25.7,23.6,254,29.4,1340,1.5,4.6,1225,.9,270
400,강남,2023-07-18,24.8,23.1,2351,28.4,1732,26.5,,,,
400,강남,2023-07-19,27.6,21.9,452,34.1,1327,0,5.3,1825,.8,270
400,강남,2023-07-20,28.4,22.9,534,34.7,1340,0,5.1,1545,.9,205.3
400,강남,2023-07-21,30.2,23.5,527,36.5,1514,0,4.6,1205,.9,171.6
400,강남,2023-07-22,28,23.9,2126,34.1,1235,7.5,8.3,1525,1.9,168.8
400,강남,2023-07-23,25.3,24.1,353,26.5,1420,39.5,8.2,846,1.5,177.2
400,강남,2023-07-24,27.5,24.2,348,32.2,1540,2.5,4.9,1633,1,168.8
400,강남,2023-07-25,28.6,25,536,32.4,1116,0,7,1405,1.4,270
400,강남,2023-07-26,28,25.7,341,32.3,1048,1.5,6.5,1803,1.2,171.6
400,강남,2023-07-27,29,24.7,456,34.8,1455,.5,7.7,1619,1,171.6
400,강남,2023-07-28,30.4,25.3,538,36,1514,0,5,1815,1.1,303.8
